,freq
user,167
poi,148
recommendation,106
llms,87
time,79
information,75
trajectory,73
prompt,72
llm,71
model,70
knowledge,64
lrsa,63
trajectories,61
preferences,53
models,52
tuning,51
check,49
text,48
fine,48
fusion,41
next,41
gowalla,41
acc,40
tky,39
alignment,39
users,39
nyc,39
preference,37
data,36
world,34
conference,33
processing,32
influential,31
learning,31
zhang,29
datasets,27
where,27
representation,27
proceedings,26
temporal,26
international,26
mrr,25
rotational,25
fig,25
wang,24
performance,24
proposed,24
zhu,24
task,23
pois,23
dataset,23
language,23
start,22
level,22
management,22
set,22
different,21
high,21
space,21
research,21
training,21
efficiency,20
cold,20
semantics,20
acm,18
achieves,18
historical,18
not,17
intelligence,17
artificial,17
collector,17
systems,17
section,17
first,16
which,16
respectively,16
tsnpr,16
chen,16
usa,16
association,16
subset,16
graph,15
rotan,15
align,15
design,15
textual,15
analysis,15
ins,15
york,15
all,14
computing,14
compared,14
when,14
sun,14
specific,14
plain,14
current,14
representations,14
ytxt,13
machinery,13
short,13
visit,13
but,13
large,13
ndcg,12
semantic,12
experiments,12
interest,12
influence,12
best,12
predict,12
vector,12
understanding,12
capture,12
traditional,12
group,12
recommendations,11
features,11
network,11
specifically,11
