,freq
community,150
flow,144
mobility,98
networks,86
network,64
detection,57
communities,53
surpassing,47
node,45
edges,42
information,41
probability,41
edge,35
nodes,34
urban,30
fig,29
weight,27
leiden,26
tpspcd,26
algorithm,25
asd,25
yin,24
data,24
degree,24
spbl,23
section,23
modularity,23
structure,22
where,21
structures,21
processing,20
local,19
management,19
population,18
core,18
article,18
spatial,18
shown,17
liu,17
weights,17
resolution,16
analysis,16
internal,16
which,16
all,16
approach,16
china,16
phase,15
patterns,15
identifying,15
dataset,14
pairs,14
value,14
set,14
identify,14
high,14
different,14
datasets,13
other,13
wang,13
regions,12
city,12
complex,12
flows,12
first,12
regional,12
than,11
weighted,11
key,11
research,11
connections,11
problem,11
connected,11
proposed,11
louvain,11
identified,10
process,10
nmi,10
social,10
zhang,10
second,10
intercity,10
deep,10
external,10
chen,10
level,10
inter,9
cities,9
model,9
definition,9
interactions,9
zhao,9
identification,9
limit,9
cid,9
short,9
integration,9
pair,9
applied,9
its,9
algorithms,9
global,9
journal,9
while,9
reshuffle,8
large,8
review,8
example,8
result,8
not,8
description,8
enabling,8
container,8
science,8
systems,8
economic,8
understanding,8
comparison,8
learning,8
same,8
