,freq
ucf,206
dataset,153
model,132
gru,115
features,93
hmdb,92
proposed,90
temporal,89
human,80
multiple,74
feature,73
recognition,72
attention,71
residual,70
mrsbu,66
accuracy,66
shrinkage,62
spatial,55
cnn,52
video,52
units,47
performance,47
activity,46
action,46
processing,46
which,44
building,44
har,41
information,39
learning,38
fig,37
lstm,36
inception,36
data,36
models,35
mechanism,34
management,34
banushri,33
jagadeesha,33
time,32
precision,32
network,32
training,31
through,30
class,28
while,27
recall,26
extraction,26
frames,26
score,25
layers,25
its,25
layer,25
classes,25
real,24
cid,24
activities,23
generalization,23
developed,23
convolutional,22
capture,22
algorithm,22
computational,22
deep,22
motion,22
classification,21
soft,21
different,21
gated,21
ability,21
high,20
thresholding,20
architecture,20
sequence,20
noise,20
modeling,20
crime,19
videos,19
robustness,19
all,19
multi,19
frame,19
vit,18
world,18
recurrent,18
input,18
represents,18
noisy,18
neural,17
rnn,17
fine,17
khan,17
cross,17
rsbu,17
analysis,16
ucsd,16
background,16
relu,16
algorithms,16
long,16
dynamic,15
wise,15
then,15
adaptive,15
transformer,15
output,15
article,15
process,15
parameters,15
loss,14
vector,14
where,14
essential,14
validation,14
net,13
efficiency,13
applied,13
softmax,13
presented,13
module,13
