,freq
support,143
social,105
live,95
streaming,89
sales,79
product,57
prediction,52
data,50
information,50
knowledge,49
categories,42
management,40
discourse,40
features,38
streamers,37
performance,37
commerce,37
emotional,36
baseline,33
informational,33
text,32
llm,32
model,31
chen,30
framework,30
processing,30
sharing,29
models,26
instrumental,26
classification,25
all,25
transcripts,25
predictive,25
research,25
llms,24
content,24
fine,24
different,24
theory,23
article,22
feature,22
which,19
semantic,18
wang,18
dataset,17
analysis,17
category,17
online,17
name,16
tuned,16
accuracy,16
its,16
structured,16
book,16
understanding,15
when,15
fig,15
liu,14
products,14
dimensions,14
influence,14
overall,13
interpretable,13
journal,13
chinese,13
types,13
extraction,13
nonsense,13
language,13
names,13
learning,13
level,12
decision,12
address,12
how,12
systems,12
base,11
sentences,11
books,11
yang,11
score,11
first,11
ernie,11
experiments,11
bert,11
only,11
enhance,11
shown,10
streamer,10
real,10
cues,10
work,10
section,10
thereby,10
evaluated,9
number,9
purchase,9
zhang,9
deep,9
not,9
role,9
combined,9
key,9
individual,9
unclassified,9
effects,9
improve,9
studies,9
extracting,9
multi,9
signals,9
huang,9
developed,8
specific,8
practical,8
remains,8
than,8
evaluation,8
provide,8
conducted,8
